Nom de la société,Secteur d'activité,Taille de l'entreprise,Catégorie,Année de fondation,Adresse,Lien webs
PREMIADEV,informatique / télécoms,Moins de 20 employés,Société privée locale,2020,"B1 , 2éme étage Cyber Park, Kairouan Sud, Kairouan, 3100 Tunisie",http://premiadev.com/
ESB ESPRIT SCHOOL OF BUSINESS,enseignement / formation / puériculture,Entre 100 et 200 employés,Société privée locale,,"Lot 05, ZI Chotrana II - 2083 Pôle technologique EL GHAZALA, Raoued, Ariana, None Tunisie",
DOKARÉ,communication / publicité / média,Moins de 20 employés,Société privée locale,,"Centre Capi, El Menzah, Tunis, None Tunisie",
ECOLE POLYTECHNIQUE MÉDITERRANÉENNE PRIVÉE DE TUNIS,enseignement / formation / puériculture,Entre 20 et 100 employés,Société privée locale,,"2 rue de sousse beb khadhra, Bab Souika, Tunis, 1001 Tunisie",
STES,architecture / immobilier / BTP,Entre 100 et 200 employés,Société privée locale,,"Akouda, Akouda, Sousse, 4000 Tunisie",
CLOVER PHAMACEUTIC,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"B21 complex bader z3, sousse 4071, Sousse Jaouhara, Sousse, None Tunisie",
DIMOUZIKA,commerce / vente / distribution,Moins de 20 employés,Société privée locale,,"Avenue Habib Bourguiba, Nabeul, Nabeul, None Tunisie",
ROTO PROCESS INTERNATIONAL,autres,Entre 20 et 100 employés,Société privée étrangère,,"ZONE FRANCHE, Bizerte Sud, Bizerte, 7000 Tunisie",
ECOMAT,industrie métalliques,Entre 20 et 100 employés,Société privée étrangère,2014,"Zone Industrielle El Wifek Oudhna- Mhamdia -Ben Arous, Mohamadia, Ben Arous, 1053 Tunisie",https://ecomat.com/
MED OIL CAMPANY,commerce / vente / distribution,Entre 200 et 500 employés,Société privée locale,1988,"RR33, Radès, Rades, Ben Arous, 2040 Tunisie",http://www.medoil.com.tn/
GAN,commerce / vente / distribution,Entre 100 et 200 employés,Société privée locale,,"BLD DE L'ENVIRONNEMENT - BOUM'HAL, Bou Mhel El Bassatine, Ben Arous, 2097 Tunisie",
LES CLINIQUES EL MANAR,santé / paramédical / optique,Plus de 500 employés,Société privée locale,,"2090 Rue Habib Chatti,  Manar 1, El Menzah, Tunis, 2092 Tunisie",
CEC,comptabilité / gestion / audit,Moins de 20 employés,Société privée locale,,"Résidence les jardins avenue des violettes jardins d'el manzah 2, Mnihla, Ariana, None Tunisie",
BSA IMMOBILIERE,architecture / immobilier / BTP,Entre 20 et 100 employés,Société privée locale,,"RUE DE L'ENVIRONNEMENT 4070 MSAKEN, Msaken, Sousse, 4070 Tunisie",
THUNDER,consulting / étude / stratégie,Moins de 20 employés,Société privée étrangère,,"rue chiek med nassr, La Soukra, Ariana, 2036 Tunisie",
